Formulation name,Procedure
Calcium Carbonate and Guar Gum Suspension,"This is a preservative-free formula; shelf-life stability is achieved by maintaining pH of the suspension above 9.00 through the addition of magnesium hydroxide. Absence of preservatives makes it a more palatable formula but requires extra care in the manufacturing process. Rigidly control the microbial specification of all ingredients. Thoroughly clean all equipment and rinse with 1% sodium hypochlorite solution before use. Finally, rinse with purified water. 1. In a clean vessel, heat item 2 to 90°C and maintain for 20 minutes. Cool to room temperature. 2. In about 90% of the quantity of item 2, add item 3 to step 1 and mix well. Set aside the balance of quantity of item 2 for bringing to volume the suspension in the step 8. 3. Add by sprinkling items 3, 4, and 9, gradually mixing aggressively to ensure fine dispersion; the powders may be passed through an appropriate sieve to break any lumps. 4. Mix for 30 minutes. 5. Add and mix item 1 for 15 minutes after passing through a fine mesh to break any lumps. 6. Add item 6 after passing through 100 mesh screen and mix for 15 minutes. 7. Add flavor and sweetener and stir for another 15 minutes. Bring to volume (if necessary) and mix for 10 minutes. 8. Check the pH of suspension to 9.00 and above. Add small quantity of magnesium hydroxide if needed to bring pH to above 9.0. 9. Heat the suspension in a covered container for 30 minutes at 68°C (maintain 68°C for 30 minutes); this is a pasteurizing step to reduce microbial load. 10. Fill in clean bottles tested for microbial contamination."
Calcium Iodide and Ascorbic Acid Syrup,"Isoproterenol is toxic: Wear dust mask and avoid contact. Product is highly sensitive to oxidation. Manufacture under N2 protection, protect from light and heat; all water should be boiled, cooled and gassed with nitrogen. 1. Load glucose and glycerin into a suitable mixing tank. 2. Add 187 mL water to tank with mixing. Begin bubbling N2 protection for the balance of the process. 3. Add and dissolve saccharin sodium and sodium cyclamate if used with mixing. 4. Add calcium iodide to the tank with good mixing. Add and dissolve ascorbic acid and sugar. 5. Dissolve the flavors in alcohol; add with mixing to the main batch. Dissolve isoproterenol in 10 to 13 mL of water and add, with mixing, to the main batch. 6. Dissolve dye in 3.5 mL purified water and add solution to tank with mixing. Dye may be deleted. 7. Add caramel with mixing to main batch. Move N2 source bottom to top of tank. Turn off mixer. Allow to stand overnight under N2 protection to let entrapped gases escape. 8. Bring to volume. Mix for 1 hour. 9. Filter and circulate product through a suitable filter press until sparkling clear."
Carnitine and Coenzyme Q Solution,"1. Heat the mixture of items 1 to 5 to 60°C, stir well. 2. Add and dissolve item 6 after cooling to room temperature."
Cefaclor Suspension,X
Cefpodoxime Proxetil Oral Suspension,"1. Charge item 1, sucrose, D-mannitol, saccharin sodium, and disodium ethylenediamine tetraacetate in an agitating granulator. 2. Granulate the mixture by agitation while spraying it with a binder of hydroxypropylcellulose and yellow no. 5 in water. 3. Pass wet mass through a 42-mesh screen in an extrusion granulator. 4. Dry the granules in a fluidized bed granulator. 5. Spray the granules with orange essence. 6. Dry granules further in the fluid bed dryer. 7. Pass granules through 30-mesh sieve and fill. When purified water was added to the resulting dry syrup at a concentration of item 1 of 49.4 mg/mL, the dry syrup rapidly dissolved in it to give a clear orange solution."
Cefuroxime Axetil Suspension,"1. Charge the sorbitol solution and 20% of item 5 in a mixing vessel. 2. Add item 1 and mix vigorously to form a suspension. 3. Add items 3 and any flavors, if needed, and mix. 4. Bring to volume. 5. Fill."
Cetrizine Hydrochloride Syrup,"1. Charge 30% of item 10 in a stainless steeljacketed kettle and heat to 90° to 95°C. 2. Add and dissolve items 6 and 7; cool to 40°C. 3. Add to step above item 4 and item 8 and mix to dissolve. 4. Add items 2, 3, and 5 and mix to dissolve 5. In a separate vessel, charge 30% of item 10 and add to it item 1, mix to dissolve, and then add to step 4. 6. Add flavor (or flavors) and bring to volume with item 10."
"Chlophedianol, Ipecac, Ephedrine, Ammonium Chloride, Carbinoxamine, and Balsam Tolu Syrup","1. Charge balsam tolu and 25 mL of water in a steam bath. 2. Raise the temperature, stirring continuously, to mix water with balsam. Boil for half an hour and allow decanting while cooling. Discard extracted balsam tolu. Filter the supernatant liquid through filter paper and store apart. 3. Charge 150 mL water in a jacketed mixing tank; heat to boiling. 4. Add and dissolve parabens with mixing. Add and dissolve sugar with constant mixing. Heat to 70° to 75°C. 5. Once sugar is dissolved, add glucose, sorbitol, and saccharin sodium. 6. Mix well until dissolved. 7. Dissolve ammonium chloride in 28 mL water. Add to mixing tank. 8. Add extract balsam tolu with mixing. 9. Mix well and cool to 25° to 30°C. Add and dissolve epehdrine, carbinoxamine in 20 mL water and add to mixing tank. Mix well. 10. Add and dissolve chlophedianol in 50 g of propylene glycol and add to mixing tank. Add balance of propylene glycol to mixing tank. 11. Add and dissolve Ipecac fluid extract and flavor raspberry in alcohol. Add to mixing tank. Dissolve dye in 5 mL water; add to tank with continuous mixing. 12. Rinse container with 5 mL of water and add rinsing. 13. Adjust to volume with purified water. 14. Add filter aid hyflo to syrup and mix well. 15. Recirculate through filter press or equivalent until sparkling clear."
Chloramphenicol Opthalmic Solution,"1. Charge 90% of item 4 in a stainless steel-jacketed vessel, heat to 90° to 95°C. 2. Add and dissolve preservatives. 3. Add and dissolve item 2. 4. Add and stir item 1 until a clear solution is obtained. 5. Optionally add 0.2 to 0.5% cysteine as antioxidant to prevent discoloration of item 2."
Chloramphenicol Palmitate Oral Emulsion,"1. Charge items 1 to 3 in a suitable stainless steeljacketed vessel. Heat to 70°C to obtain a clear solution. 2. Cool to 40°C. 3. In a separate vessel, add and dissolve items 4 and 5 and then add this solution to step 2. 4. Bring to volume with item 6. Mix."
Chloramphenicol Palmitate Topical Emulsion,"1. Charge items 1 to 3 in a suitable stainless steeljacketed vessel. Heat to 70°C to obtain a clear solution. 2. Cool to 40°C. 3. In a separate vessel, add and dissolve items 4 and 5 and then add this solution to step 2. 4. Bring to volume with item 6. Mix."
Chlorpheniramine Maleate Syrup,"1. Add 500.0 g of item 8 to the manufacturing vessel and heat to 95° to 98°C. 2. Add items 3 and 4 while mixing to dissolve at high speed. 3. Mix for 5 minutes. Add item 2 while mixing at slow speed. Temperature 95° to 98°C. 4. Mix for 1 hour at high speed. Cool down to 30°C while mixing at slow speed. 5. Dissolve items 5 and 6 in 20.0 g of cooled item 8 (25°C). 6. Transfer the solution to the manufacturing vessel above while mixing at high speed. Mix for 2 minutes. 7. Add 8.0 g of cold item 8 (25° to 30°C) in a separate container and dissolve item 1 by using stirrer. Mix for 10 minutes and transfer to the manufacturing vessel above. 8. Rinse the container with 2.0 g of cooled item 8 (25°C) and transfer the rinsings to the manufacturing vessel while mixing at high speed. 9. Add item 7 to the manufacturing vessel while mixing. 10. Mix for 10 minutes at high speed. Make up the volume up to 1 L with item 8 and finally mix for 15 to 20 minutes at high speed. 11. Check and record the pH. Limit 5.0 to 5.2 at 25°C. If required, adjust pH with 10% citric acid or 10% sodium citrate solution. 12. Filter the syrup at 1.5 bar. Bubble the syrup with nitrogen gas."
Ciclopirox Topical Solution,"1. Charge item 4 in a suitable stainless steel vessel in an explosion-proof room. 2. Add item 2 and item 3 in a separate vessel, mix, and add to step 1. 3. Add item 1 and mix; seal immediately."
Cimetidine Syrup,"1. Charge items 3 and 4 in a stainless steel vessel and add 70% item 15; heat to 80 to 90°C to dissolve. 2. In a separate vessel, add and mix items 5 through 11. 3. Add step 2 to step 1. 4. Add and dissolve remaining items and mix. 5. Fill."
Ciprofloxacin Hydrochloride and Hydrocortisone Otic Suspension,"1. Use well-passivated stainless steel vessels; use only sodium vapor lamps or yellow light in the manufacturing area. Avoid forming foam during transfer of liquids. 2. Charge approximately 1 L of item 12 in a suitable vessel and heat to 90° to 95°C and then cool to 20° to 25°C under a nitrogen environment, and hold for later use for premixing, rinsing, and final volume makeup. 3. To 50% of volume of item 11 add item 4 at 90° to 95°C. 4. Add and mix item 5 while maintaining nitrogen blanket cover. Cool to 40° to 50°C. 5. Add and mix item 6 and cool to 20° to 25°C. 6. In a separate vessel, mix acetic acid, sodium chloride and sodium acetate trihydrate in about 10% of item 12 as prepared in step 1. 7. In a separate vessel charge item 2 and item 3 and 30% of item 12, mix, and then pass through a micronizing chamber. 8. Add to step 6 and mix well. 9. Add item 1 to in a separate vessel and 20% of item 12 and portions of item 7 and then add to the main batch. 10. Bring to volume. 11. Adjust pH to 4.75 using item 10 or 11 as needed. Fill."
Cisapride Suspension,"Cisapride dispersion should be uniformity mixed or levigated. Avicel RC-591 and Methyl Cellulose dispersion should be uniform and smooth. 1. Mix item 8 in 100.0 g of item 10 (35° to 40°C) in a stainless steel vessel, using stirrer. Add item 1 and mix to make smooth dispersion and keep aside. Check the smoothness of dispersion. 2. Add 185.0 g of item 10 to a suitable mixer and heat to 90° to 95°C. Dissolve items 2 and 3 while mixing. Add and dissolve item 4 while mixing. 3. Cool down to about 50° to 55°C. 4. Filter the syrup through T1500 filter pads (8 to 10) washed with purified water. Collect the syrup in clean stainless steel tank. Avoid any loss of syrup quantity. 5. Disperse item 6 in 150.0 g of hot item 10 (70° to 80°C) in mixer while mixing. 6. Mix and homogenize at temperature 70° to 80°C, mixer speed 18 rpm, homogenizer high speed and vacuum 0.4 to 0.6 bar for 5 minutes. 7. Cool down to 25° to 30°C with continuous mixing. Check the smoothness of dispersion. 8. Disperse item 5 in 250.0 g of item 10 (25° to 30°C) in stainless steel vessel, using stirrer. Keep on stirring for 30 minutes to make smooth dispersion. Check the smoothness of dispersion. 9. Transfer syrup mixer. Transfer Avicel mucilage to mixer. 10. Mix at high homogenizer speed and under vacuum for 5 minutes. 11. Dissolve item 7 in 10.0 g of item 10 and add to mixer while mixing. Add drug dispersion to mixer. 12. Rinse the drug container with 40.0 g of item 10 and add the rinsing to mixer. 13. Add item 9 to mixer while mixing. 14. Add item 10 up to final volume 1 L. 15. Finally mix and homogenize for 5 minutes at mixer speed 18 rpm, homogenizer at high speed, vacuum 0.4 to 0.6 bar. 16. Check the suspension for homogeneity. Transfer the suspension through 630-micron sieve to the stainless steel storage tank, previously sanitized."
Clarithromycin Suspension,"1. This product requires coated clarithtomycin granules. Add polyvinyl pyrrolidone to water and mix. 2. Use water to granulate a blend of clarithromycin and Carbopol 974P. 3. Dry granules at 70°C until loss on drying is not more than (NMT) 5%. 4. Collect fraction between 177 and 420 microns. 5. Regranulate smaller particles to meet the above range. 6. Blend the regranulate in step 5 to step 6. 7. Prepare coating solution by adding ethanol and acetone and hydroxyupropyl methylcellulose phthate and castor oil in a mixing vessel; mix until solution is clear. 8. Coat granules in step 6 in a particle coater and dry to loss on drying of NMT 5%. 9. Sift coated granules and retain the fraction between 149 and 590 microns. 10. In a separate vessel, dissolve potassium sorbate in purified water. 11. Blend sucrose and the maltodextrin until a homogenous mix is achieved. 12. Granulate the step 11 mixture with step 10. 13. Dry the granulation until loss on drying is NMT 1%. 14. Mill dried granules and blend. 15. Mix to clarithromycin-coated granules in appropriate quantity, add silicon dixode, and blend. Fill appropriate quantity."
Clotrimazol Topical Solution,"1. Charge item 1 and 2 in a stainless steel-jacketed mixing vessel. Heat to 60°C and mix well. 2. In a separate vessel, charge items 3 to 5 at 90°C and add to step 1. 3. Mix well and fill."
Cotrimoxazole Oral Suspension,"1. Disperse item 4 in item 5 in a stainless steel vessel using stirrer. Check that the dispersion is even. 2. Disperse item 3 in the dispersion of items 4 and 5 (Sodium CMC-Glycerol) at step 1, using stirrer. Check that the final dispersion is even. 3. Add 100.0 g of hot item 20 (75° to 85°C) to the dispersion at step 2 while stirring to make the mucilage. Mix for 30 minutes using stirrer. 4. Keep aside the mucilage, for hydration, overnight in a well-closed container. 5. Add item 6 in a stainless steel container and mix items 2 and 1 while mixing using stirrer to make homogenous slurry. 6. Add 100.0 g of cold item 20 (25° to 30°C) in a stainless steel container and dissolve item 7 to make a clear solution. Add item 8 while mixing to make a clear solution, then add item 9 while mixing at slow speed. 7. Transfer the mix from step 4.1 to the slurry of Sulpha-Trimethoprim step 3 while mixing. 8. Mix for 30 minutes. 9. Add item 10 to the slurry. Mix for 10 minutes. 10. Add 250.0 g of item 20 in mixer and heat to 90° to 95°C. Add items 14 and 15 while mixing to dissolve, homogenize at high speed for 2 minutes. 11. Add item 13 to the Parabens solution at step 6. Mix well to dissolve completely. 12. Cool down to 30°C. 13. Filter the syrup through T-1500 filters using filter press. (Wash the filters with cooled item 20 about 100 mL before use.) Collect the filtered syrup in stainless steel containers. 14. Wash the mixer with item 20. 15. Load items 4 and 3 (CMC-Veegum) mucilage from step 2 to the mixer. Homogenize while mixing for 2 minutes at high speed under vacuum 0.4 to 0.6 bar, mixer speed 20 rpm, temperature 25°C. Check the suspension for uniformity. 16. Load the sulpha-trimethoprim slurry from step 5 to the mixer. Homogenize while mixing for 10 minutes at high speed under vacuum 0.4 to 0.6 bar, mixer speed 20 rpm, temperature 25°C, Check the suspension for uniformity. 17. Transfer the sugar syrup from step 7 to the mixer. Homogenize while mixing for 2 minutes at high speed under vacuum 0.4 to 0.6 bar, mixer speed 20 rpm, temperature 25°C. Check the suspension for uniformity. 18. Dissolve item 12 in 4.0 g of cooled item 20 and transfer to the mixer while mixing. 19. Dissolve item 11 in 10.0 g of cooled item 20 and transfer to the mixer while mixing. 20. Dissolve items 16 and 17 and FD&C red 40 in 1.0 g of cooled item 20 and transfer to the mixer while mixing. 21. Mix items 18 and 19 and transfer to the mixer while mixing. 22. Add cold item 20 to makeup the volume to 1 L. 23. Set the mixer on high speed, rpm 20, manual mode, vacuum 0.4 to 0.6 bar, temperature 25°C, Mix for 15 minutes. 24. Check and record the pH. Limit 5.5 to 5.8 at 25°C. If required, adjust pH with 10% citric acid or 10% sodium citrate solution. 25. Transfer the suspension through 630-micron sieve to the stainless steel storage tank, previously sanitized by 70% ethanol."
